id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price_2023,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,last_review_date,price_2023_quant
53781081,Beautiful 3 bedroom apartment in Astoria,435596498,Nora,Queens,Astoria,40.77403,-73.9261,Private room,125,1,37,2023-01-01,3.29,1,57,37,,2023-01-01,0.4827967753833184
53710387,Prime Williamsburg - private room with backyard,546370,Katya,Brooklyn,Williamsburg,40.713592529296875,-73.96245574951172,Private room,76,2,9,2022-12-05,0.82,25,198,9,,2022-12-05,0.2090731861531166
53715842,4 BRs + 2 BAs in 2nd flr of home near Prospect Prk,435050037,Abdo,Brooklyn,Flatbush,40.65161,-73.96236,Private room,735,2,3,2022-09-11,0.2,15,303,2,,2022-09-11,0.985931819379314
53752252,Lovely 1-bedroom in Brooklyn,266380288,Rachel,Brooklyn,Williamsburg,40.71012,-73.94228,Entire home/apt,100,30,4,2023-01-27,0.48,4,31,4,,2023-01-27,0.35955529796090413
53781715,"Lovely 2Br+Den apartment in Downton, New York",435602416,Ivan,Manhattan,Financial District,40.70471,-74.01059,Entire home/apt,395,4,7,2023-01-02,0.86,2,4,7,,2023-01-02,0.9462036988250171
53718498,Cozy stay entire apartment (heart of Queens),102648941,Yahira,Queens,Corona,40.74188,-73.85835,Entire home/apt,140,2,68,2023-02-26,4.53,1,295,60,,2023-02-26,0.5472364192001686
53719446,Funeebe home,435076774,Joaquim,Manhattan,Hell's Kitchen,40.76259,-73.99278,Entire home/apt,221,2,58,2023-01-17,3.88,1,109,52,,2023-01-17,0.7937720638600558
53753234,Private NYC 1BR Ideal for Healthcare Traveler,9419684,Churchill,Manhattan,Hell's Kitchen,40.7625,-73.99834,Entire home/apt,339,30,1,2022-09-07,0.17,33,365,1,,2022-09-07,0.9204383792612888
53720201,"Sunny 2 BR Near Central Park, Columbia U, Transit",148014,Bria,Manhattan,Harlem,40.80399,-73.95716,Private room,79,20,5,2023-02-17,0.34,1,71,4,,2023-02-17,0.22024342694557142
53720606,TRYP by Wyndham Times Square - sleeps 8 - Midtown,38592279,Vk,Manhattan,Hell's Kitchen,40.75473,-73.99523,Private room,406,1,10,2023-02-19,1.42,17,94,10,,2023-02-19,0.9532641340428895
53783347,Prime Location Williamsburg Studio on Bedford Ave.,350408858,Adi,Brooklyn,Williamsburg,40.7165,-73.95731,Entire home/apt,187,3,21,2023-01-15,1.42,1,296,19,,2023-01-15,0.7053585541914748
53783936,Lovely Hell's Kitchen Apt! Heart of Midtown West!,390588257,Emmanuel,Manhattan,Hell's Kitchen,40.76467,-73.98883,Entire home/apt,200,30,7,2023-02-17,0.47,2,66,3,,2023-02-17,0.7543073923810527
53754167,Alnez's Cove,152721564,Herman,Queens,Arverne,40.59221,-73.79945,Entire home/apt,175,2,11,2023-01-03,1,1,155,11,,2023-01-03,0.6749565309025766
53754365,Amazing Spacious Bedroom |Queen-Size Bed| Brooklyn,430520580,SharedEasy,Brooklyn,Bushwick,40.6886,-73.90973,Private room,70,30,3,2022-09-17,0.22,9,340,1,,2022-09-17,0.17856578323410086
53756050,Lovely 1-Bedroom Rental Unit In Queens,435377805,Bobby,Queens,Long Island City,40.73594,-73.93319,Entire home/apt,110,4,39,2023-02-13,2.64,4,71,31,,2023-02-13,0.40755571947942465
53784208,Beautiful Studio w/ Private outdoor living,74885349,Kimberly,Brooklyn,Bedford-Stuyvesant,40.68284,-73.94674,Entire home/apt,119,3,36,2023-02-06,2.48,4,51,33,,2023-02-06,0.44017071500079036
53784543,Modern Basement bd 5 mins from JFK Wifi Deli Train,141645843,Gs Vacay Spots,Queens,Jamaica,40.682037,-73.796814,Private room,110,1,35,2023-01-22,2.88,8,364,35,,2023-01-22,0.40755571947942465
53722450,LUXURY 3-BEDROOM TOWNHOUSE IN BROOKLYN,435101401,Fabiola,Brooklyn,Cypress Hills,40.68057,-73.87307,Entire home/apt,215,3,60,2023-02-26,4,2,147,50,,2023-02-26,0.7801254017598398
53784778,3 min to ohel. #5 private entrance.,47900722,Sagee,Queens,Cambria Heights,40.68736,-73.73658,Entire home/apt,76,1,4,2022-09-25,0.66,5,175,4,,2022-09-25,0.2090731861531166
53785006,Quiet & Relaxing Studio,74885349,Kimberly,Brooklyn,Bedford-Stuyvesant,40.68366,-73.94686,Entire home/apt,109,2,43,2023-01-05,2.91,4,32,38,,2023-01-05,0.3949628536803836
53756457,Lovely 1 bedroom apartment in Brooklyn,430685664,Colie,Brooklyn,Bedford-Stuyvesant,40.68706,-73.93117,Entire home/apt,143,1,9,2022-12-30,2.65,1,281,9,,2022-12-30,0.5527688497813372
53722709,"Rm2💜: Cozy PVT Rm, 20 mins to the City",164518602,Magdiel,Brooklyn,Kensington,40.64378,-73.97631,Private room,58,2,31,2023-02-15,2.18,4,263,28,,2023-02-15,0.10306127825491332
53722920,Cozy Studio Apartment,186365946,Michael,Brooklyn,Midwood,40.61402,-73.95577,Entire home/apt,93,1,48,2023-03-01,3.22,1,355,41,,2023-03-01,0.30380947362874755
53723870,Spacious room in East Williamsburg,19612095,Helen,Brooklyn,Williamsburg,40.70611,-73.93279,Private room,70,3,27,2023-02-14,1.83,4,333,23,,2023-02-14,0.17856578323410086
53725606,Spacious Luxury Studio Apartment near WTC w Views!,213630008,Sameer,Manhattan,Battery Park City,40.71009,-74.01764,Entire home/apt,189,1,10,2023-01-27,0.79,1,7,9,,2023-01-27,0.7119974708888772
53786270,Beautiful Spacious Room In Brooklyn NY!,45503479,José,Brooklyn,Flatbush,40.65401,-73.95678,Private room,125,1,29,2022-12-28,1.96,2,362,26,,2022-12-28,0.4827967753833184
53786333,Cozy Elegant monthly rental,432000371,Juan,Manhattan,East Harlem,40.79346,-73.94558,Entire home/apt,100,30,3,2022-09-30,0.24,4,340,2,,2022-09-30,0.35955529796090413
53786471,Large Room in Brooklyn NY!,45503479,José,Brooklyn,Flatbush,40.65278,-73.95744,Private room,125,1,25,2023-02-19,1.7,2,365,22,,2023-02-19,0.4827967753833184
53758301,Luxury room for long term none smoker guest,422579287,Evyiatar,Queens,Bayswater,40.59878,-73.76753,Private room,68,30,4,2023-02-13,0.45,2,364,4,,2023-02-13,0.15959744981295115
53758413,Large Private Bedroom a block from train,12514892,Dana,Brooklyn,Flatbush,40.63403,-73.96067,Private room,44,2,43,2022-12-06,3.24,1,277,40,,2022-12-06,0.036092523315243166
53725725,Private room with brand new furniture and mattress,10149317,Lana,Queens,Kew Gardens,40.709103,-73.83313,Private room,59,7,12,2023-01-25,0.94,19,330,11,,2023-01-25,0.10890984772643449
53758529,Your own cozy Bushwick Brooklyn apartment.,347673646,Matthew,Brooklyn,Bushwick,40.69925,-73.91697,Entire home/apt,150,3,4,2022-11-02,0.28,1,0,2,,2022-11-02,0.5972917435059802
53787074,Double Room at Williamsburg prime location,546370,Katya,Brooklyn,Williamsburg,40.71332931518555,-73.96277618408203,Private room,102,2,26,2023-03-02,1.76,25,286,22,,2023-03-02,0.36661573317877655
53831670,Spacious and bright room with 2 double beds.,435050037,Abdo,Brooklyn,Flatbush,40.65207,-73.96139,Private room,187,2,14,2022-12-11,1.32,15,319,14,,2022-12-11,0.7053585541914748
53788247,"1 Bedroom Apt in Brooklyn, NY",382918364,Mohammad,Brooklyn,Bath Beach,40.60609,-74.00577,Entire home/apt,85,1,49,2023-02-04,3.3,2,352,31,,2023-02-04,0.2594446493492808
53832868,💫 Chic & Modern | Minutes From Ewr And Nyc,39553567,Yhc,Staten Island,Port Richmond,40.628660000000004,-74.14578,Entire home/apt,101,1,22,2023-03-05,1.54,4,352,19,,2023-03-05,0.3629274461246641
53792581,Demmy's Kings Bed,183604908,Ade,Brooklyn,Crown Heights,40.66906,-73.92628,Private room,90,3,8,2022-10-28,0.55,2,90,6,,2022-10-28,0.29269192265135147
53833717,The Chill Spot,263937485,Rochelle,Brooklyn,Prospect Heights,40.6731,-73.96856,Entire home/apt,274,1,37,2023-01-15,2.51,2,303,34,,2023-01-15,0.8691711892091258
53760220,"Top Flight experience 
JFK /LGA/ Casino/mall",144688687,Anthony,Queens,Springfield Gardens,40.66719,-73.76537,Entire home/apt,250,1,15,2022-12-30,1.08,9,361,12,,2022-12-30,0.8493598187470361
53763914,Lovely and modern 1-bedroom with hot tub,14713321,Marek,Brooklyn,Greenpoint,40.72773,-73.94898,Private room,199,1,15,2022-10-27,1.49,1,28,15,,2022-10-27,0.7386585173086042
53793797,Super Spacious & Modern 1BD in Williamsburg.,344384237,Pete,Brooklyn,Williamsburg,40.715969,-73.951935,Entire home/apt,350,3,3,2023-01-22,0.29,1,343,3,,2023-01-22,0.9317666894989198
53837021,❤️Rare Hidden Gem 2BR Near LGA/JFK & Attractions❤️,436098811,Sable,Queens,Queens Village,40.70805,-73.73145,Entire home/apt,125,1,42,2023-02-02,3.04,1,345,37,,2023-02-02,0.4827967753833184
53794913,Lovely 1-Bedroom in Luxury NYC Brownstone Condo,211334103,Demetrius,Manhattan,Harlem,40.80417,-73.94521,Entire home/apt,196,6,13,2023-01-13,0.95,2,17,10,,2023-01-13,0.7282786237420307
53765516,Studio in Tribeca,348564569,Zere,Manhattan,Tribeca,40.713,-74.00924,Entire home/apt,219,30,3,2023-02-04,0.26,1,126,3,,2023-02-04,0.7858685916012434
53765856,XClusive Private Queens Bd Bsmt Near Train Bus JFK,141645843,Gs Vacay Spots,Queens,Jamaica,40.682037,-73.796814,Private room,97,1,24,2023-01-18,1.6,8,361,17,,2023-01-18,0.32472733020707095
53766143,433 West 53-Studio located in Midtown West,51501835,Jeniffer,Manhattan,Hell's Kitchen,40.76747,-73.98942,Entire home/apt,120,30,4,2022-09-20,0.38,131,146,4,,2022-09-20,0.4565045576690026
53795503,1-bedroom rental unit in Maspeth Queens 2nd floor,424163498,Dimitrios,Queens,Maspeth,40.71597,-73.91239,Entire home/apt,122,1,46,2023-02-11,3.15,2,363,39,,2023-02-11,0.46182622898993625
53840594,Cozy Rockaway Getaway near JFK Airport sleeps 4!,435847805,Blu,Brooklyn,Canarsie,40.64128,-73.89376,Entire home/apt,147,2,37,2023-02-12,2.59,1,365,35,,2023-02-12,0.566046683176142
53796187,MODERN & STYLISH GEM 15 MINS FROM TIMES SQUARE!,124710422,Angelo,Manhattan,Harlem,40.83038,-73.94021,Private room,55,2,3,2022-09-27,0.27,2,89,3,,2022-09-27,0.09157489857210602
53796341,Entire Apt in Brooklyn Brownstone. Great Location!,9020266,Monique,Brooklyn,Prospect Heights,40.681374,-73.9711,Entire home/apt,245,4,31,2022-12-13,2.15,1,19,23,,2022-12-13,0.830707624216239
53797300,"Bright, stylish 1-bed in the West Village",34821813,James,Manhattan,West Village,40.73204,-74.00633,Entire home/apt,404,2,4,2022-10-19,0.28,1,5,3,,2022-10-19,0.9530006849675957
53841058,Pre-war charming 1-Bedroom in Historic Home,429826037,Valentin,Brooklyn,Cypress Hills,40.68014,-73.89116,Entire home/apt,71,30,1,2022-10-09,0.2,12,168,1,,2022-10-09,0.18230676010327204
53768631,Entire 1-Bdr Apartment near 45th st/9th ave,435480629,Vasb,Manhattan,Theater District,40.75507,-73.9885,Entire home/apt,148,1,19,2023-02-02,1.27,1,139,14,,2023-02-02,0.5685231044839033
53797580,Brooklyn living,53491381,Desiree,Brooklyn,East New York,40.65738,-73.87999,Private room,39,2,32,2023-02-18,2.24,2,139,30,,2023-02-18,0.02033826861267717
